HouseID,Area_sqft,Bedrooms,Bathrooms,Floors,HouseAge,Garage,LocationScore,SchoolRating,CrimeRate,DistanceCity_km,Price
1,3051,1,1,1,1,2,4,6,1,12,2332241
2,3792,2,5,3,10,2,2,8,2,29,4225111
3,2686,5,1,3,4,1,1,7,6,23,4255433
4,3744,5,1,1,38,1,8,4,4,5,4367324
5,2135,3,2,1,13,3,3,6,6,9,3381398
6,2107,3,3,1,9,3,1,8,10,26,3840396
7,2093,2,4,3,22,2,1,1,1,31,3085233
8,4935,6,4,2,8,0,2,9,10,32,5623557
9,3524,6,3,3,12,0,8,10,9,12,6095113
10,3350,3,1,2,28,0,8,1,4,20,2683648
11,4616,4,3,2,28,3,7,1,1,3,5176639
12,3767,5,3,2,29,0,7,4,1,42,5039121
13,1739,3,3,2,1,0,5,4,2,29,4028079
14,4982,1,3,3,5,1,10,5,3,11,3720637
15,2847,1,2,2,21,0,5,10,2,27,2869193
16,1528,5,3,2,12,1,10,5,5,40,5376746
17,1500,2,4,1,7,2,10,1,2,41,4077873
18,4131,6,2,3,26,2,6,6,8,37,5249456
19,4813,1,5,3,34,2,10,7,9,21,3958287
20,2403,2,3,1,33,2,2,5,10,41,2688987
21,4818,3,1,3,2,1,1,9,8,18,3221087
22,723,2,2,2,27,2,2,1,5,25,2156137
23,4452,1,3,2,22,1,7,10,1,49,3223227
24,4853,3,3,1,34,2,6,10,2,5,4835107
25,3569,1,4,1,28,1,8,1,7,16,2752289
26,1109,4,1,1,2,0,6,6,4,38,3892382
27,1648,2,4,3,40,1,6,4,8,46,2876174
28,2163,5,3,1,16,2,10,3,6,8,5408280
29,4337,5,5,3,26,2,5,10,10,26,6205333
30,4170,1,2,1,4,1,10,6,1,1,3687702
31,3592,5,2,3,11,0,3,1,10,1,3800954
32,4208,6,1,1,21,0,9,3,10,40,5179232
33,1905,1,3,3,39,3,8,7,8,40,2625138
34,2147,6,1,3,2,2,6,2,10,10,5152190
35,1604,2,1,3,20,1,9,3,1,27,2631639
36,4042,5,2,3,40,2,3,5,10,1,4539831
37,3377,4,2,1,40,0,4,1,9,48,3082925
38,4313,3,2,1,6,0,4,1,8,38,3220461
39,2291,3,3,2,13,1,2,2,2,11,3253459
40,4373,5,3,3,6,0,2,9,5,50,5190599
41,3191,1,5,1,22,0,4,4,2,31,2787510
42,1740,3,2,3,35,2,8,3,4,27,3363884
43,1821,5,1,2,31,3,10,1,3,21,4440816
44,2562,5,4,2,8,1,6,1,2,1,5783077
45,3731,3,2,1,20,1,1,5,2,41,3367725
46,3287,2,4,3,20,1,5,2,1,41,3434286
47,3600,6,3,3,26,2,5,9,1,34,6234678
48,3327,5,3,3,38,0,1,10,10,47,4322932
49,888,5,5,3,6,0,3,8,8,24,5283080
50,3643,5,2,1,39,0,9,1,9,26,4170406
51,3598,3,1,1,13,3,4,4,1,5,3918578
52,3645,2,2,2,2,1,6,5,1,27,3228122
53,4862,3,5,2,23,0,10,3,10,16,4829644
54,3356,5,5,1,24,0,7,3,6,13,5692844
55,3028,5,4,1,18,2,1,8,10,23,5275984
56,751,5,4,2,25,3,1,7,1,34,5333728
57,4222,4,2,2,24,3,5,2,8,18,4407678
58,1120,6,4,2,20,1,3,9,1,29,5918879
59,1648,5,3,3,3,3,9,6,3,29,6245286
60,3464,6,5,2,35,3,9,9,8,11,6936160
61,2898,6,5,1,12,0,8,9,5,19,7025106
62,1388,3,2,1,34,0,2,7,6,18,2379703
63,4912,5,2,3,38,0,2,6,5,45,4262037
64,2215,2,5,3,11,0,10,10,8,17,4666295
65,4375,5,1,1,26,0,8,6,10,37,4351481
66,1502,5,5,3,29,0,3,10,7,36,5193426
67,4952,2,2,3,22,3,3,6,2,14,3705509
68,4180,3,4,3,12,0,6,1,3,4,3916197
69,3908,1,2,1,13,0,10,7,1,34,3291412
70,2879,3,4,1,38,0,6,8,2,4,4137378
71,1331,2,2,3,0,3,5,9,9,1,3350243
72,1958,4,1,3,37,2,4,10,3,31,3935139
73,3675,2,2,1,14,2,5,3,1,48,2916866
74,4060,2,5,3,26,3,6,6,1,50,4362438
75,4901,5,3,2,31,1,5,10,5,49,5552877
76,3474,6,2,2,14,3,2,5,4,50,5662715
77,3919,4,3,2,31,2,2,6,3,6,4700276
78,2722,6,5,2,25,3,9,3,5,8,7061806
79,3992,1,1,2,16,1,10,5,4,46,2488130
80,3559,1,3,2,26,3,2,9,8,24,2861831
81,2887,2,1,1,16,3,10,8,6,14,3617812
82,4870,2,5,3,28,3,1,10,10,22,3918718
83,4942,2,3,2,13,3,10,5,10,10,4352414
84,812,2,5,1,9,1,4,10,3,26,4421912
85,4053,5,1,3,19,0,3,6,6,33,3762264
86,3493,1,1,1,36,3,7,1,7,42,2025081
87,3278,4,2,1,16,3,2,10,2,20,4809203
88,3831,6,4,3,2,2,1,2,4,33,5833554
89,932,3,2,2,28,2,8,5,8,18,3629928
90,2144,1,5,2,26,3,3,6,10,2,3322151
91,4928,2,4,1,16,2,10,6,5,18,4725126
92,2890,1,3,2,9,1,8,1,8,15,2868933
93,3297,5,1,2,8,1,5,5,8,47,4404618
94,3087,2,4,2,38,1,3,3,10,22,2786539
95,768,2,3,2,25,0,3,8,1,50,2498272
96,2764,2,4,2,24,0,2,1,8,34,2416639
97,637,6,2,2,19,3,3,5,6,14,4854414
98,4395,2,5,1,26,3,7,7,2,36,4911257
99,1004,5,2,1,12,1,3,10,6,27,4328361
100,1396,3,3,1,40,1,6,5,1,43,3718349
101,2039,5,2,1,9,2,10,6,5,1,5678913
102,2081,5,1,2,31,3,5,8,1,11,4867423
103,2649,1,3,3,17,1,2,6,8,29,2351397
104,4194,6,2,1,36,0,9,2,10,18,5178062
105,4997,1,2,3,37,1,10,10,10,18,2945497
106,2011,2,5,2,31,2,10,5,3,34,4601412
107,1800,1,5,3,20,3,2,10,3,40,3573233
108,3330,5,2,3,6,3,2,3,8,36,4535742
109,3354,2,4,3,37,3,1,3,5,11,3347148
110,800,2,4,2,30,1,10,2,6,43,3622518
111,3823,4,2,3,18,0,9,3,6,12,4610958
112,4006,3,5,2,15,1,7,3,1,14,5296682
113,4503,1,1,3,4,0,9,1,3,49,2414734
114,3304,3,4,1,31,1,7,3,3,21,4048091
115,4730,3,2,2,22,3,4,3,2,37,3977924
116,4847,2,1,1,19,3,4,1,8,37,2213886
117,2465,3,3,1,20,0,5,6,9,23,3720829
118,4572,4,3,1,4,1,7,3,7,25,4921629
119,1946,3,5,1,20,3,3,8,6,44,4529766
120,2597,1,5,1,39,3,9,3,8,16,3395726
121,2633,2,3,2,20,1,6,10,6,17,3786264
122,1615,5,3,2,32,1,2,8,2,19,4801039
123,3058,6,5,1,1,0,5,2,7,18,6167318
124,3406,3,2,2,27,3,3,3,9,26,3071051
125,3085,3,1,1,3,1,5,6,6,14,3555980
126,1802,5,4,1,17,2,4,10,7,31,5544451
127,2875,6,5,1,37,3,2,9,10,12,5887732
128,923,5,3,3,40,0,7,2,7,20,3927043
129,2523,3,1,1,7,3,5,7,6,48,3814096
130,3701,2,5,3,19,3,6,10,1,14,5137078
131,3956,1,1,1,5,3,4,7,7,16,2336716
132,1833,5,3,1,12,0,4,9,8,2,4889223
133,4970,4,2,1,7,1,1,1,4,44,3688603
134,1205,2,4,2,30,3,9,9,2,44,4179344
135,1318,2,3,3,22,0,6,4,6,3,2658146
136,4905,6,1,3,26,3,7,10,2,33,6317851
137,2201,3,5,3,19,1,8,5,1,3,5052768
138,3317,4,3,3,29,2,10,5,1,46,5318868
139,3250,5,3,3,19,1,2,3,4,28,4836020
140,4311,5,3,1,39,3,2,4,4,15,4985311
141,4060,3,2,2,32,3,6,9,8,26,4342182
142,4473,4,4,3,28,1,6,3,9,29,4830280
143,2899,6,1,1,20,3,2,5,6,10,5095135
144,979,1,5,3,4,3,8,4,7,7,4146008
145,3333,4,1,3,39,1,10,10,9,6,4084180
146,1677,1,3,2,0,0,7,4,7,40,2534531
147,1165,6,2,1,2,3,7,7,10,25,5855712
148,1799,5,5,2,36,1,2,5,6,5,4910896
149,4849,2,3,2,12,0,2,10,2,13,3639740
150,3985,2,3,2,19,1,4,9,4,43,3610132
151,4971,3,4,2,11,3,10,10,8,31,5830666
152,1442,5,1,1,12,2,5,3,5,40,3890279
153,1524,6,2,1,23,1,6,7,7,38,5426549
154,2604,1,3,2,32,0,6,8,10,26,2308417
155,3855,5,4,3,28,3,6,7,6,1,6253373
156,2120,5,3,1,25,3,10,3,10,15,5287608
157,1469,4,5,1,0,3,4,6,5,15,5600120
158,4388,4,2,1,35,2,2,5,5,18,3797189
159,4999,2,1,1,5,2,6,10,2,10,3996556
160,2186,1,4,3,39,3,10,7,10,13,3292116
161,3181,4,5,2,14,3,10,2,5,43,5681749
162,1858,3,5,1,40,1,4,9,1,16,4511864
163,3852,3,5,2,27,0,5,7,6,29,4679267
164,2682,5,1,2,37,2,6,7,8,49,4466240
165,1657,2,1,3,17,2,3,9,5,15,2569104
166,1549,1,1,1,13,2,10,8,4,4,2807455
167,2376,4,1,1,17,2,5,3,4,28,3601029
168,2485,4,5,2,34,1,6,7,8,48,5010916
169,4827,6,2,1,7,2,6,6,8,4,6209232
170,3317,2,4,2,10,0,1,6,8,28,3150223
171,4515,6,2,3,2,1,2,3,7,23,5126164
172,2126,6,1,3,39,0,10,9,9,1,5051032
173,1455,1,2,1,37,1,6,5,1,45,2277559
174,4723,4,1,3,21,3,2,8,10,16,3865538
175,2705,4,3,2,8,0,4,9,6,45,4462942
176,769,4,1,2,21,1,1,9,8,26,3267581
177,4858,5,5,3,1,0,4,1,10,39,5385972
178,3239,1,3,2,25,0,1,6,2,41,2054813
179,3223,2,2,2,29,2,8,2,4,33,3150494
180,3037,3,3,3,15,3,1,8,3,39,4217839
181,2527,1,1,2,29,2,10,7,2,43,2594011
182,1779,6,4,1,19,1,3,9,2,19,5788635
183,4526,4,3,3,16,0,6,2,10,49,3741969
184,3363,1,4,2,37,3,5,2,7,41,2874524
185,4119,3,4,2,17,0,4,3,8,47,3679632
186,2238,6,3,3,3,1,1,5,7,50,5176837
187,3759,4,4,1,17,0,8,5,5,8,5157023
188,2913,5,5,1,13,1,1,1,5,25,5115379
189,4153,4,2,3,29,0,10,6,3,11,4770972
190,2591,5,5,2,21,2,10,4,3,23,6574801
191,712,3,2,3,14,2,2,3,7,43,2816270
192,2220,6,4,2,25,0,8,7,4,9,5964648
193,1616,4,1,2,3,0,1,4,3,30,3249575
194,1533,5,1,2,9,1,6,10,10,40,4639873
195,1336,5,3,3,17,3,4,7,8,31,4847534
196,2606,5,2,2,34,1,5,1,8,33,3899585
197,3973,4,2,1,14,3,7,4,5,27,4892232
198,3129,5,4,2,37,2,3,5,9,5,4861594
199,2435,6,1,3,39,1,1,5,8,20,4046864
200,1752,4,5,2,17,2,9,8,2,43,6268592
201,3766,4,2,2,15,0,6,7,2,25,4660026
202,4460,2,4,1,12,2,5,5,2,9,4243293
203,2259,2,1,2,18,3,6,8,6,28,3383873
204,2218,3,3,2,11,0,5,3,9,43,3323643
205,1483,4,1,3,12,0,7,2,4,45,3305268
206,3221,3,2,3,34,3,8,2,8,4,3843269
207,4713,4,4,3,7,3,4,10,4,11,6048729
208,1515,1,3,1,15,0,5,10,9,11,2577111
209,4342,5,4,2,33,3,6,4,5,10,5780284
210,3657,6,1,3,38,2,4,1,2,34,4296403
211,2689,3,5,1,37,0,6,4,4,40,3910886
212,964,3,3,2,29,3,9,5,4,3,4374079
213,2326,3,3,3,16,3,3,10,3,37,4289588
214,789,1,4,3,0,3,3,4,5,34,2862394
215,4978,2,2,3,5,0,4,1,9,25,2443697
216,1647,1,2,2,18,0,1,2,10,5,982565
217,2360,5,4,3,23,1,1,9,6,23,5169101
218,2794,2,3,3,25,3,2,6,10,31,3125639
219,2953,2,1,3,36,0,7,7,10,38,1970166
220,4945,1,4,3,16,0,3,9,6,24,3172718
221,1963,1,2,3,14,1,4,2,7,49,1587743
222,3969,6,2,2,38,2,3,6,10,6,4929689
223,4380,6,4,3,36,0,6,4,4,25,5680517
224,4448,1,5,3,14,3,8,2,7,32,3893819
225,4224,1,4,2,16,2,9,1,9,28,3537444
226,1415,5,1,3,26,1,9,1,10,47,4031114
227,2373,3,1,1,31,2,6,3,10,46,2492807
228,1988,2,2,2,39,2,2,5,6,20,2030445
229,4605,4,5,1,12,2,1,1,3,15,4989041
230,1507,3,2,2,9,0,4,4,5,36,2811334
231,2789,2,2,1,30,1,8,4,8,15,2543145
232,1023,6,2,2,26,0,1,9,6,15,4570136
233,4595,4,1,3,19,2,1,2,6,16,3518986
234,2450,1,3,2,28,0,6,7,6,25,2254425
235,4715,3,4,1,10,1,3,10,9,29,4754911
236,2220,2,5,2,29,0,4,9,7,13,3813135
237,2669,4,5,3,23,1,4,9,2,25,5562177
238,2619,1,3,3,36,1,5,3,1,24,2464392
239,4001,5,4,1,25,1,6,5,1,21,5462425
240,4759,3,1,1,7,3,9,5,3,11,4737423
241,1626,3,1,1,12,2,3,5,5,11,3164549
242,2672,4,2,1,10,1,1,2,3,29,3455356
243,4219,2,2,1,37,2,5,10,5,37,3431234
244,1222,1,3,3,27,1,1,8,3,13,2402297
245,3706,3,5,1,30,2,7,4,1,50,4670477
246,2414,3,1,2,40,2,2,1,6,19,1939248
247,2668,1,3,1,31,2,4,3,8,27,2154042
248,3724,3,2,2,33,0,2,10,2,18,3377034
249,4697,4,1,2,12,0,7,8,7,45,3903551
250,4669,5,4,1,31,1,7,7,9,4,5699959
251,644,3,2,2,37,1,10,10,6,42,3557247
252,3647,6,4,2,38,2,9,9,2,37,6615696
253,1075,5,2,2,38,2,3,9,8,11,4439634
254,4345,1,1,1,10,1,7,2,10,22,2250222
255,1519,4,5,3,14,3,1,7,8,39,4845149
256,4979,6,4,2,32,0,2,10,9,45,5751460
257,3466,1,1,1,11,3,2,5,3,8,2412718
258,2680,3,2,1,10,1,9,7,9,42,3681523
259,2931,2,2,1,14,0,4,5,7,32,2443523
260,2922,2,5,1,31,2,8,3,1,23,4020921
261,1083,2,5,1,0,1,6,6,4,37,3950658
262,3688,1,5,2,23,1,4,3,3,43,2965526
263,3056,6,1,2,10,2,5,3,4,38,4983500
264,1965,4,5,3,37,1,5,1,1,1,4869850
265,1155,6,5,1,26,2,9,3,9,24,6307747
266,3156,6,5,2,6,3,7,6,9,14,6974902
267,2524,5,1,3,31,1,4,10,5,50,4037791
268,1476,4,3,1,32,1,7,3,4,38,3848834
269,2638,2,1,2,35,0,5,9,7,15,2129587
270,2254,6,3,3,32,0,3,6,5,35,4908771
271,2551,1,3,1,7,2,5,6,2,25,2851860
272,2246,2,4,1,29,2,5,7,1,47,3907395
273,4617,1,3,1,40,1,7,1,5,41,2082791
274,1494,4,3,1,20,3,7,10,7,31,5084914
275,3886,6,4,2,32,3,10,4,8,11,6518895
276,4227,2,4,3,40,1,7,1,3,35,3100616
277,1698,5,2,2,19,1,3,9,4,39,4872489
278,3129,6,1,3,26,1,8,8,7,41,5003301
279,2350,6,3,2,17,3,5,9,2,36,6404277
280,4968,1,5,2,29,0,6,9,7,10,3820982
281,1753,4,1,3,20,3,9,5,5,10,4627090
282,1674,2,4,1,39,2,1,6,10,4,2806445
283,1550,1,1,3,39,3,7,1,7,14,1356904
284,3077,4,5,2,23,2,2,4,6,28,4952059
285,2076,3,4,1,12,0,3,10,3,37,4116946
286,4141,5,2,1,37,2,9,9,6,7,5597973
287,852,2,5,1,34,1,2,7,1,22,3261839
288,2135,1,4,2,26,0,8,1,1,7,3067869
289,3070,4,4,2,29,0,1,2,2,40,3807378
290,3893,4,3,2,26,0,1,9,6,4,4195160
291,2447,1,2,1,17,0,3,2,3,10,1427894
292,3877,2,2,3,23,3,1,7,8,27,3069670
293,728,6,1,2,25,0,3,1,10,49,3359459
294,742,5,2,3,0,0,9,8,7,35,5316832
295,3865,6,5,1,26,2,5,8,9,6,6440526
296,3784,6,3,1,12,3,2,1,1,9,5482536
297,1710,5,3,2,22,3,7,7,1,28,5649881
